ID,supplier_ID,period,department,evaluator,qualityScore,deliveryScore,priceScore,responseScore,overallScore,overallCriticality,comment,status
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a01,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f01,2025Q3,品質管理部,田中太郎,5,4,3,5,4.3,3,精密加工の品質が非常に高い。価格面での改善余地あり。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a02,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f01,2025Q4,購買部,佐藤花子,5,5,3,4,4.3,3,安定した品質と納期遵守。価格交渉の余地あり。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a03,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f01,2026Q1,製造部,鈴木一郎,4,4,4,5,4.3,3,製造現場での対応が素早い。総合的に信頼できるパートナー。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a04,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f02,2025Q3,購買部,佐藤花子,3,3,5,3,3.5,2,価格競争力は高いが品質と対応力に課題。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a05,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f02,2025Q4,物流部,高橋健二,3,2,5,2,3.0,2,納期遅延が複数回発生。コミュニケーションに改善要。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a06,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f02,2026Q1,品質管理部,田中太郎,4,3,4,3,3.5,2,前期より品質改善の兆し。継続モニタリング推奨。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a07,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f03,2025Q3,品質管理部,田中太郎,5,5,2,4,4.0,3,ドイツ品質基準で最高レベル。ただしコスト高。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a08,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f03,2025Q4,購買部,佐藤花子,5,4,2,5,4.0,3,技術サポートが excellent。価格は市場平均より高め。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a09,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f03,2026Q1,製造部,鈴木一郎,5,5,3,4,4.3,3,納品物の品質が一貫して高い。価格改善が今後の課題。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a10,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f04,2025Q3,購買部,佐藤花子,4,3,3,4,3.5,2,標準的な品質。特に問題はないが差別化も少ない。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a11,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f04,2025Q4,物流部,高橋健二,3,3,4,4,3.5,2,配送の柔軟性は評価できる。品質のばらつきに注意。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a12,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f04,2026Q1,品質管理部,田中太郎,4,4,3,3,3.5,2,前四半期比で品質改善。納期遵守率も向上傾向。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a13,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f05,2025Q3,品質管理部,田中太郎,2,3,4,2,2.8,1,品質基準未達のロットが頻発。是正措置要求済み。,Submitted
e1f2a3b4-c5d6-4e7f-8a9b-0c1d2e3f4a14,d1e2f3a4-b5c6-4d7e-8f9a-0b1c2d3e4f05,2025Q4,購買部,佐藤花子,3,2,3,3,2.8,1,価格は妥当だが品質・納期に重大な懸念。代替検討中。,Submitted
